x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
x;p;;;;;#;;;;s;;;;;#;;;;;;;;#;;;;;;;;x
x;;;;;;#;;;;;;;;;#;;;;;;;;#;;;;;;;;x
x;;;#;;;#;;;#;;;#;;;#;;;#;#;#;;;#;;;#;;;#;;x
x;;;#;;;#;;;#;;;#;;;#;;;;;#;;;#;;;#;;;#;;x
x;M;M;#;;;;;;#;;;#;;;#;#;#;;;#;m;;#;;;;;;#;;x
x;;;#;;;;;;#;M;;#;;;;;#;;;#;;#;#;;#;;#;;#;s;x
x;;;#;m;;;#;#;#;;;#;#;#;#;;#;;;;;;;;#;m;#;;;#;x
x;;;#;;;;;;s;;;;;;m;;#;;;;;;;;#;;#;#;;z;x
x;s;;#;;;#;;m;;;M;;;;;;#;;;#;#;#;;;#;;#;#;#;;x
x;;;#;;;#;;#;#;;#;;;#;;S;#;;;;;#;;;#;;#;#;#;#;x
x;;;#;;;;;;;m;;s;;;;;#;;;;;#;m;;#;;;;;;x
x;;;;;;;;#;#;;#;#;;;#;;#;#;#;;;#;;;#;;;;;;x
x;;;;;;;;#;;;;;;;;;;;#;;;#;;s;#;;;#;;;x
x;;;;;;;;#;;;;;;;;;;;#;;;#;#;#;#;#;#;#;;;x
x;;;;;;;;#;;#;#;;;#;;;;;;;;;;;;;;;;;x
x;;;;;;;;#;;;;;;;s;;;;;;;;;;;;;;;;x
x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
