x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
x;p;;;;;;;;;;;;;#;#;#;#;#;;;;;;#;;;;;m;;x
x;#;#;;;#;#;#;#;#;#;#;#;;;;;;;;;S;;;#;;#;#;#;;;x
x;;#;;;#;;;#;#;#;;#;;;;#;#;#;#;#;#;#;#;#;;;;s;;;x
x;z;#;;;#;s;;;;#;;#;#;;;;;;#;#;;;;#;;#;;;#;;x
x;;#;#;#;#;;;;;#;;;#;;#;;;#;;;;;;;;;;;;;x
x;;;;;#;;;s;;#;s;;#;;#;#;;;;;m;;;;;#;#;;m;;x
x;#;#;;;#;;;;;#;;;#;;#;;;;;;;;;;;#;;;;;x
x;;;;;#;;#;;;#;;;#;;;;;;;#;#;;;;;#;#;#;;;x
x;;;;;#;;#;;#;#;;;#;;#;;;;;#;#;s;;;;#;;#;;;x
x;;#;;;#;;#;;#;#;;;;;;#;;;;s;;;;;;#;;#;;;x
x;;#;;;#;;#;;#;;;;#;#;#;#;;;;;;;;;;#;;#;;;x
x;;;#;#;#;;#;;#;;m;;#;;;;#;;;m;;;;;;;;#;;s;x
x;;;;;;;#;;#;;;;#;;#;#;#;;#;;;;#;#;#;#;;#;;;x
x;;;;#;m;;#;;#;#;;;;;;;;m;;#;#;#;;;;;;;;;x
x;s;;;#;;;#;;;#;#;#;#;#;#;#;#;#;#;;;;;#;#;#;#;#;M;;x
x;;;#;;;;#;;;;;;;;;;;;;m;;;;#;;;;;;;x
x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
