x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
x;;;;;;;;;;;;;#;p;;;;;;;;;;;;;;;;;x
x;;;;m;;;;;;;;;#;;;;;;;;;;;;;;;;;;x
x;;;;;;;;;;;M;;#;;;;;;;;;;;;;;;;;;x
x;;;;;;;;;;;;;#;;;;;#;#;#;#;#;#;#;#;#;#;#;M;;x
x;;#;#;#;#;#;#;#;#;;;;#;#;#;#;#;;;;;;;;;;;;;;x
x;;#;;;;;;;;;;;#;;;;#;;;;;;;;;;;;;;x
x;;#;;#;#;#;#;#;#;#;#;#;#;;;;#;;;;;;;;;;;;;;x
x;;#;;;;;;;;;;;;;M;;#;;;;;;;;m;;;;;;x
x;;#;;;M;;;;;;;S;;#;;;#;;;;;;;;;;;;;;x
x;S;#;;;;;;;;;;;;#;;S;#;;;;;;;M;;;S;;;;x
x;;#;;;;;;;s;;;;;#;;;#;;;s;;;;;;;;;;;x
x;;#;;;;;;;;;;;;#;;;#;;;;;;;;;;;;;;x
x;;#;;;;;;;;;;;;#;;z;#;;;;;;;;;;;;;;x
x;;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;;;;;;;;;;;;;x
x;;;;;;;;;;;;;;;;;;;;;;;;;;;m;;;;x
x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
