x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
x;p;;;;#;;;m;;;;;;#;;;;;;;;;;S;;;#;;;;x
x;;;;;#;;;#;#;#;;;;#;;;;;;;#;;;;;;;;#;;x
x;#;;;;#;;;;;;;;;#;;;;;s;;#;;;;;;#;;;;x
x;#;#;#;;#;;;;;;;;;#;;;;;;;#;;;;;;;;#;;x
x;M;;;;#;;;;M;;;;;#;;;;;;;#;;;M;;;#;;;;x
x;;;;;#;;;;;;;;;#;;#;#;#;#;;#;;;;;;;;#;;x
x;;;m;;#;;;#;#;#;;;;#;;;;;#;;#;;;;;S;#;;;;x
x;m;;;;#;;;;;#;;;;#;;;;;#;;;s;;;;;;;#;;x
x;;;;;#;;;m;;#;;;;#;;M;;;#;#;#;;;;;;#;;;;x
x;;;;;#;;;#;#;#;;;;#;;;;;;;#;;;;;;;;#;;x
x;;#;#;#;#;;;;;;#;;;#;;;;;;;#;;;;;;#;;;S;x
x;;;;;#;#;#;#;;#;#;#;;#;#;#;#;;M;;#;#;;#;;#;;;#;;x
x;;;;;;;;;;#;;;;;;;#;;;;#;;;;;;;;;;x
x;;s;s;;#;;;m;;#;;;;;;;#;;;;#;;#;;#;;#;;#;;x
x;;;;;#;;s;;;#;;s;;;;;#;;;s;#;;;;;;;;;m;x
x;;;;;#;;;;;#;;;;m;;;;;;;#;;;;;;;;M;z;x
x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
